framework,control_id,overall_status,evidence_count,passing_signals,failing_signals,evidence_ids,signal_descriptions
ISO 27001,A.5.15,FAIL,4,0,4,gcp_iam_posture; workspace_access_control,Org policy disables service account key creation | Uniform bucket-level access enforced via org policy | No new admin privilege grants in the past 30 days | No external Drive sharing events in the past 30 days
ISO 27001,A.5.16,FAIL,2,1,1,gcp_iam_posture,No service account keys older than 90 days | OS Login required for VM SSH access (org policy)
ISO 27001,A.5.17,FAIL,2,0,2,workspace_access_control,All active Workspace users have 2-Step Verification enrolled | All Workspace admin accounts have MFA enrolled
ISO 27001,A.5.18,FAIL,2,1,1,gcp_iam_posture; workspace_access_control,No service account keys older than 90 days | No new admin privilege grants in the past 30 days
ISO 27001,A.8.15,FAIL,4,2,2,gcp_audit_logging,At least one active log sink exports audit logs | Log bucket retention is at least 365 days | DATA_WRITE audit logs enabled for key GCP services | Log bucket is locked (tamper-evident retention)
ISO 27001,A.8.16,FAIL,2,0,2,gcp_audit_logging; workspace_access_control,DATA_WRITE audit logs enabled for key GCP services | No suspicious login events in the past 7 days
ISO 27001,A.8.2,FAIL,2,0,2,gcp_iam_posture,Org policy disables service account key creation | OS Login required for VM SSH access (org policy)
ISO 27001,A.8.24,FAIL,3,1,2,gcp_encryption,All KMS keys have automatic rotation enabled | All KMS key rotation periods are 90 days or less | All SSL policies enforce TLS 1.2 or higher
ISO 27001,A.8.5,FAIL,1,0,1,workspace_access_control,All active Workspace users have 2-Step Verification enrolled
ISO 27001,A.8.8,FAIL,4,0,4,gcp_scc_findings,Security Command Center is enabled for the project | Security Health Analytics source is active in SCC | Zero CRITICAL severity findings in Security Command Center | Zero HIGH severity findings in Security Command Center
ISO 27001,A.8.9,FAIL,1,0,1,gcp_scc_findings,Security Health Analytics source is active in SCC
ISO 42001,6.1.2,FAIL,5,0,5,gcp_iam_posture; workspace_access_control,Org policy disables service account key creation | OS Login required for VM SSH access (org policy) | All active Workspace users have 2-Step Verification enrolled | All Workspace admin accounts have MFA enrolled | No new admin privilege grants in the past 30 days
ISO 42001,6.5,FAIL,1,0,1,workspace_access_control,No suspicious login events in the past 7 days
ISO 42001,6.6.2,FAIL,2,0,2,gcp_scc_findings,Security Command Center is enabled for the project | Zero CRITICAL severity findings in Security Command Center
ISO 42001,8.4,FAIL,2,1,1,gcp_encryption,All KMS keys have automatic rotation enabled | All SSL policies enforce TLS 1.2 or higher
ISO 42001,9.1,FAIL,2,1,1,gcp_audit_logging,At least one active log sink exports audit logs | Log bucket retention is at least 365 days
ISO 42001,9.1.2,FAIL,1,0,1,gcp_audit_logging,DATA_WRITE audit logs enabled for key GCP services
PCI-DSS,10.2.1,FAIL,3,1,2,gcp_audit_logging; workspace_access_control,At least one active log sink exports audit logs | DATA_WRITE audit logs enabled for key GCP services | No suspicious login events in the past 7 days
PCI-DSS,10.2.2,PASS,1,1,0,gcp_audit_logging,At least one active log sink exports audit logs
PCI-DSS,10.3.2,FAIL,2,1,1,gcp_audit_logging,Log bucket retention is at least 365 days | Log bucket is locked (tamper-evident retention)
PCI-DSS,10.5.1,FAIL,1,0,1,gcp_audit_logging,Log bucket retention is at least 365 days
PCI-DSS,10.7.1,FAIL,2,1,1,gcp_audit_logging,DATA_WRITE audit logs enabled for key GCP services | Log bucket is locked (tamper-evident retention)
PCI-DSS,11.3.1,FAIL,3,0,3,gcp_scc_findings,Security Command Center is enabled for the project | Security Health Analytics source is active in SCC | Zero CRITICAL severity findings in Security Command Center
PCI-DSS,11.3.2,FAIL,1,0,1,gcp_scc_findings,Security Command Center is enabled for the project
PCI-DSS,12.3.2,FAIL,1,0,1,workspace_access_control,No external Drive sharing events in the past 30 days
PCI-DSS,2.2.1,FAIL,1,0,1,gcp_scc_findings,Security Health Analytics source is active in SCC
PCI-DSS,3.6.1,FAIL,1,0,1,gcp_encryption,All KMS keys have automatic rotation enabled
PCI-DSS,3.7.1,FAIL,2,0,2,gcp_encryption,All KMS keys have automatic rotation enabled | All KMS key rotation periods are 90 days or less
PCI-DSS,4.2.1,PASS,1,1,0,gcp_encryption,All SSL policies enforce TLS 1.2 or higher
PCI-DSS,6.3.3,FAIL,2,0,2,gcp_scc_findings,Zero CRITICAL severity findings in Security Command Center | Zero HIGH severity findings in Security Command Center
PCI-DSS,7.2.1,FAIL,2,0,2,gcp_iam_posture; workspace_access_control,Org policy disables service account key creation | No new admin privilege grants in the past 30 days
PCI-DSS,7.2.2,FAIL,1,0,1,gcp_iam_posture,Uniform bucket-level access enforced via org policy
PCI-DSS,8.2.1,FAIL,2,0,2,gcp_iam_posture; workspace_access_control,OS Login required for VM SSH access (org policy) | No new admin privilege grants in the past 30 days
PCI-DSS,8.3.9,PASS,1,1,0,gcp_iam_posture,No service account keys older than 90 days
PCI-DSS,8.4.2,FAIL,2,0,2,workspace_access_control,All active Workspace users have 2-Step Verification enrolled | All Workspace admin accounts have MFA enrolled
PCI-DSS,8.4.3,FAIL,1,0,1,workspace_access_control,All active Workspace users have 2-Step Verification enrolled
PCI-DSS,8.6.1,FAIL,2,0,2,gcp_iam_posture,Org policy disables service account key creation | OS Login required for VM SSH access (org policy)
SOC 2,CC6.1,FAIL,6,1,5,gcp_iam_posture; workspace_access_control,No service account keys older than 90 days | Org policy disables service account key creation | Uniform bucket-level access enforced via org policy | OS Login required for VM SSH access (org policy) | All active Workspace users have 2-Step Verification enrolled | All Workspace admin accounts have MFA enrolled
SOC 2,CC6.2,FAIL,2,1,1,gcp_iam_posture; workspace_access_control,No service account keys older than 90 days | No new admin privilege grants in the past 30 days
SOC 2,CC6.3,FAIL,2,0,2,gcp_iam_posture; workspace_access_control,Org policy disables service account key creation | No new admin privilege grants in the past 30 days
SOC 2,CC6.6,FAIL,1,0,1,workspace_access_control,No external Drive sharing events in the past 30 days
SOC 2,CC6.7,FAIL,3,1,2,gcp_encryption,All KMS keys have automatic rotation enabled | All KMS key rotation periods are 90 days or less | All SSL policies enforce TLS 1.2 or higher
SOC 2,CC7.1,FAIL,4,0,4,gcp_scc_findings,Security Command Center is enabled for the project | Security Health Analytics source is active in SCC | Zero CRITICAL severity findings in Security Command Center | Zero HIGH severity findings in Security Command Center
SOC 2,CC7.2,FAIL,7,2,5,gcp_audit_logging; gcp_scc_findings; workspace_access_control,At least one active log sink exports audit logs | Log bucket retention is at least 365 days | DATA_WRITE audit logs enabled for key GCP services | Log bucket is locked (tamper-evident retention) | Security Command Center is enabled for the project | Zero CRITICAL severity findings in Security Command Center | No suspicious login events in the past 7 days
SOC 2,CC7.3,FAIL,1,0,1,gcp_audit_logging,DATA_WRITE audit logs enabled for key GCP services
